Africa	n. 非洲
Aids	n. 爱滋病
America	n. 美洲
April	n. 四月
Arab	adj. 阿拉伯的\nn. 阿拉伯人
Asia	n. 亚洲
August	n. 八月
BASIC	n. 初学者通用符号指令码
BC	n. 公元前
Bible	n. 圣经
Britain	n. 英国
British	adj. 不列颠的\nn. 英国人;英国英语
Buddhism	n. 佛教
Cal	n. 大卡
Celsius	adj. 摄氏的
China	n. 中国\nn. 瓷器;陶瓷
Chinese	adj. 中国的;中国话的\nn. 中国话;中国人
Christ	n. 基督;弥赛亚
Christian	adj. 基督的\nn. 基督徒;人
Christmas	n. 圣诞节
December	n. 十二月
Eden	n. 乐园;伊甸园
Eire	n. 爱尔兰
England	n. 英格兰
English	adj. 英格兰的;英语的\nn. 英国人;英语
Eucharist	n. 感恩祭;圣餐
Europe	n. 欧罗巴洲
European	adj. 欧洲的\nn. 白人;欧洲人
Fahrenheit	adj. 华氏温度计的\nn. 华氏温度计
February	n. 二月
Fortran	n. 公式翻译程序语言
France	n. 法兰西
French	adj. 法国的;法语的\nn. 法国人;法语
Friday	n. 星期五
Gents	n. 男厕
German	adj. 德国的;德国人的\nn. 德国人;德语
Germany	n. 德意志
Greenwich	n. 格林尼治
Hollywood	n. 好莱坞
I	pron. 我
Interpol	n. 国际刑警组织
Ireland	n. 爱尔兰岛
Islam	n. 伊斯兰教
Italy	n. 意大利
January	n. 一月
Japan	n. 日本
Japanese	adj. 日本的\nn. 日本人;日语
Jesus	n. 耶数;耶稣
Jew	n. 犹太教徒;犹太人
Jewish	adj. 犹太教的;犹太人的\nn. 意第绪语
July	n. 七月
June	n. 六月
Korea	n. 朝鲜半岛
Ladies	n. 公共女厕所
MA	n. 硕士
Mars	n. 火星
Mayday	n. 五一国际劳动节
Mercury	n. 水星;信使
Monday	n. 星期一
Muslim	adj. 穆斯林的\nn. 穆斯林
NATO	n. 北大西洋公约组织
Negro	adj. 黑人的\nn. 黑人
November	n. 十一月
Occident	n. 西半球;西方
Oceania	n. 大洋洲
October	n. 十月
Olympic	adj. 奥林匹克的
Oscar	n. 奥斯卡;奥斯卡奖
Pentagon	n. 五角大楼
Pope	n. 教皇
Saturday	n. 星期六
Scotland	n. 苏格兰
September	n. 九月
Sunday	n. 星期天
TV	n. 电视
Thursday	n. 星期四
USA	n. 美利坚合众国
WC	n. 厕所
Wednesday	n. 星期三
Xmas	n. 圣诞节
Yale	n. 耶尔;耶鲁大学
a	det. 一
aback	adv. 突然地;向后
abandon	n. 放任;狂放\nv. 放弃;离弃
abase	v. 垂下;使谦卑
abash	v. 使不安;使惭愧
abate	v. 撤销;减
abattoir	n. 角斗场;屠场
abbreviate	v. 使简短;缩写
abdicate	v. 正式放弃;退出
abdomen	n. 腹;腹部
abduct	v. 使外展;诱拐;劫持;绑架
abed	adj. 卧病在床;在床上\nadv. 卧病在床;在床上
abend	n. 异常终止
abet	v. 支持
abeyance	n. 归属待定;中止;暂搁
abhor	v. 回避;憎恶
abhorrence	n. 厌恶
abhorrent	adj. 相抵触的;憎恶的
abide	v. 忍耐;居住
ability	n. 能力;能耐
abject	adj. 可鄙的;奴性的;悲惨的
abjure	v. 避免;发誓弃绝
ablaze	adj. 热烈;闪耀\nadv. 热烈;闪耀
able	adj. 得以...的
ably	adv. 能干地;巧妙地
abnegate	v. 放弃;克制
abnormal	adj. 变态的;反常的
aboard	prep. 在...上
abolish	v. 彻底废除;完全破坏
abolition	n. 废除
abominable	adj. 极坏的;可恶的
abominate	v. 不喜欢;厌恶
abort	n. 中途失败\nv. 败育;流产;堕胎
abortion	n. 流产;堕胎
abortive	adj. 败育的;流产的
abound	v. 充足;富足
about	adj. 活动中的\nprep. 在...附近;在...前后
above	adj. 上面出现过的\nadv. 在顶部;在上面\nprep. 多于;高于
abrade	v. 磨损;经受磨损
abrasion	n. 磨蚀;磨损
abrasive	adj. 磨损的\nn. 磨料;磨蚀岩屑
abreast	adv. 朝同方向并列
abridge	v. 减少;缩短;删节
abroad	adv. 到国外;出国
abrogate	v. 去掉;正式废除
abrupt	adj. 陡峭的;唐突的
abscissa	n. 横座标
abscond	v. 潜逃
abseil	n. 绕绳下降\nv. 绕绳下降
absence	n. 缺乏;缺席
absent	adj. 不在场的;缺乏的\nv. 使缺席
absentee	adj. 缺席者的\nn. 不在的
